image_id,question,answer,label,question_type,tumor_class,pred_idx,predicted
notumor_084,What type of brain tumor is shown?,no tumor,80,open_ended,no tumor,80,no tumor
glioma_164,Is there a tumor visible in this MRI scan?,yes,174,binary,glioma,174,yes
glioma_044,Is there a tumor visible in this MRI scan?,yes,174,binary,glioma,174,yes
notumor_050,Is this a meningioma tumor?,no,79,binary,no tumor,79,no
glioma_010,What type of brain tumor is shown?,glioma,30,open_ended,glioma,30,glioma
notumor_204,What type of brain tumor is shown?,no tumor,80,open_ended,no tumor,80,no tumor
glioma_179,Is this a glioma tumor?,yes,174,binary,glioma,174,yes
glioma_023,What type of brain tumor is shown?,glioma,30,open_ended,glioma,30,glioma
notumor_234,Where is the tumor located?,no tumor present,81,open_ended,no tumor,81,no tumor present
meningioma_052,Is this a meningioma tumor?,yes,174,binary,meningioma,174,yes
pituitary_231,Where is the tumor located?,sellar region,160,open_ended,pituitary,160,sellar region
notumor_070,Where is the tumor located?,no tumor present,81,open_ended,no tumor,81,no tumor present
notumor_109,What type of brain tumor is shown?,no tumor,80,open_ended,no tumor,80,no tumor
notumor_036,Is this a glioma tumor?,no,79,binary,no tumor,79,no
meningioma_207,Where is the tumor located?,right temporal region,154,open_ended,meningioma,130,right parietal convexity
meningioma_039,Where is the tumor located?,anterior skull base,2,open_ended,meningioma,159,sellar and suprasellar region
meningioma_082,Is there a tumor visible in this MRI scan?,yes,174,binary,meningioma,174,yes
glioma_055,Is there a tumor visible in this MRI scan?,yes,174,binary,glioma,174,yes
glioma_128,What type of brain tumor is shown?,glioma,30,open_ended,glioma,30,glioma
meningioma_171,Is there a tumor visible in this MRI scan?,yes,174,binary,meningioma,174,yes
glioma_125,Where is the tumor located?,left temporal lobe,70,open_ended,glioma,112,right frontal lobe
notumor_072,What type of brain tumor is shown?,no tumor,80,open_ended,no tumor,80,no tumor
meningioma_215,Is there a tumor visible in this MRI scan?,yes,174,binary,meningioma,174,yes
meningioma_098,Is there a tumor visible in this MRI scan?,yes,174,binary,meningioma,174,yes
meningioma_130,Where is the tumor located?,posterior fossa midline,94,open_ended,meningioma,130,right parietal convexity
pituitary_097,What type of brain tumor is shown?,pituitary tumor,85,open_ended,pituitary,85,pituitary tumor
notumor_156,Is this a pituitary tumor?,no,79,binary,no tumor,79,no
pituitary_020,Is there a tumor visible in this MRI scan?,yes,174,binary,pituitary,174,yes
meningioma_136,Is there a tumor visible in this MRI scan?,yes,174,binary,meningioma,174,yes
meningioma_055,Is this a meningioma tumor?,yes,174,binary,meningioma,174,yes
pituitary_171,Is this a pituitary tumor?,yes,174,binary,pituitary,174,yes
notumor_205,What type of brain tumor is shown?,no tumor,80,open_ended,no tumor,80,no tumor
pituitary_249,Is this a pituitary tumor?,yes,174,binary,pituitary,174,yes
meningioma_105,Is there a tumor visible in this MRI scan?,yes,174,binary,meningioma,174,yes
pituitary_055,Is this a pituitary tumor?,yes,174,binary,pituitary,174,yes
notumor_223,Where is the tumor located?,no tumor present,81,open_ended,no tumor,81,no tumor present
meningioma_170,Is there a tumor visible in this MRI scan?,yes,174,binary,meningioma,174,yes
