image_id,question,answer
glioma_139,Where is the tumor located?,right frontal temporal region
notumor_123,Where is the tumor located?,no tumor present
glioma_132,Where is the tumor located?,left parietal lobe
notumor_232,Is this a pituitary tumor?,no
pituitary_248,Is this a pituitary tumor?,yes
glioma_018,What type of brain tumor is shown?,glioma
meningioma_190,Is there a tumor visible in this MRI scan?,yes
glioma_053,Where is the tumor located?,left frontotemporal region
glioma_050,Is there a tumor visible in this MRI scan?,yes
glioma_201,Where is the tumor located?,right frontal parietal region
notumor_103,Is this a glioma tumor?,no
notumor_210,Is there a tumor visible in this MRI scan?,no
meningioma_037,What type of brain tumor is shown?,meningioma
meningioma_125,What type of brain tumor is shown?,meningioma
notumor_215,What type of brain tumor is shown?,no tumor
notumor_121,What type of brain tumor is shown?,no tumor
meningioma_047,Is this a meningioma tumor?,yes
glioma_118,Where is the tumor located?,posterior parietal occipital region
glioma_149,What type of brain tumor is shown?,glioma
glioma_081,Is this a glioma tumor?,yes
meningioma_105,Is this a meningioma tumor?,yes
meningioma_169,What type of brain tumor is shown?,meningioma
notumor_148,What type of brain tumor is shown?,no tumor
meningioma_176,Where is the tumor located?,left temporal convexity
pituitary_136,Is there a tumor visible in this MRI scan?,yes
glioma_052,Is this a glioma tumor?,yes
notumor_222,Where is the tumor located?,no tumor present
notumor_063,Is there a tumor visible in this MRI scan?,no
pituitary_033,Where is the tumor located?,sellar region
meningioma_064,Where is the tumor located?,right parasagittal frontal region
pituitary_075,Where is the tumor located?,sellar region
meningioma_057,What type of brain tumor is shown?,meningioma
notumor_230,What type of brain tumor is shown?,no tumor
pituitary_117,Is there a tumor visible in this MRI scan?,yes
pituitary_096,Where is the tumor located?,sellar region
glioma_038,Is this a glioma tumor?,yes
glioma_218,Is this a glioma tumor?,yes
meningioma_245,What type of brain tumor is shown?,meningioma
pituitary_115,Is there a tumor visible in this MRI scan?,yes
notumor_217,Is this a meningioma tumor?,no
pituitary_054,Is there a tumor visible in this MRI scan?,yes
meningioma_002,What type of brain tumor is shown?,meningioma
notumor_012,Where is the tumor located?,no tumor present
glioma_177,Is this a glioma tumor?,yes
notumor_036,Where is the tumor located?,no tumor present
notumor_150,Is there a tumor visible in this MRI scan?,no
meningioma_247,Where is the tumor located?,right temporal skull base
glioma_045,Where is the tumor located?,right frontal lobe
glioma_028,Is this a glioma tumor?,yes
notumor_020,What type of brain tumor is shown?,no tumor
meningioma_014,Where is the tumor located?,right parietal convexity
notumor_239,Is there a tumor visible in this MRI scan?,no
glioma_079,What type of brain tumor is shown?,glioma
meningioma_206,What type of brain tumor is shown?,meningioma
glioma_142,Where is the tumor located?,right frontal lobe
glioma_220,Where is the tumor located?,posterior fossa cerebellum
pituitary_058,What type of brain tumor is shown?,pituitary tumor
meningioma_103,Where is the tumor located?,posterior fossa skull base
notumor_057,Is there a tumor visible in this MRI scan?,no
notumor_235,Is there a tumor visible in this MRI scan?,no
notumor_063,Is this a pituitary tumor?,no
glioma_233,Is this a glioma tumor?,yes
pituitary_145,What type of brain tumor is shown?,pituitary tumor
notumor_095,Where is the tumor located?,no tumor present
pituitary_074,Is there a tumor visible in this MRI scan?,yes
meningioma_126,What type of brain tumor is shown?,meningioma
notumor_196,What type of brain tumor is shown?,no tumor
glioma_152,Is this a glioma tumor?,yes
meningioma_248,Is there a tumor visible in this MRI scan?,yes
glioma_004,What type of brain tumor is shown?,glioma
meningioma_066,Is this a meningioma tumor?,yes
notumor_060,What type of brain tumor is shown?,no tumor
notumor_080,What type of brain tumor is shown?,no tumor
glioma_003,Is there a tumor visible in this MRI scan?,yes
glioma_223,Is this a glioma tumor?,yes
notumor_038,Is there a tumor visible in this MRI scan?,no
notumor_138,Where is the tumor located?,no tumor present
meningioma_112,Is there a tumor visible in this MRI scan?,yes
glioma_099,Is this a glioma tumor?,yes
meningioma_146,What type of brain tumor is shown?,meningioma
pituitary_215,What type of brain tumor is shown?,pituitary tumor
glioma_135,What type of brain tumor is shown?,glioma
meningioma_122,Where is the tumor located?,left temporal region
glioma_202,Where is the tumor located?,left frontoparietal region
notumor_104,What type of brain tumor is shown?,no tumor
glioma_200,What type of brain tumor is shown?,glioma
notumor_135,Where is the tumor located?,no tumor present
meningioma_204,Where is the tumor located?,right frontal convexity
pituitary_083,Is this a pituitary tumor?,yes
pituitary_162,Where is the tumor located?,central sellar region
meningioma_107,Is there a tumor visible in this MRI scan?,yes
pituitary_090,Where is the tumor located?,sellar and suprasellar region
notumor_081,Is this a pituitary tumor?,no
glioma_197,Where is the tumor located?,right frontal lobe
meningioma_249,Is there a tumor visible in this MRI scan?,yes
meningioma_030,Is there a tumor visible in this MRI scan?,yes
meningioma_081,Is there a tumor visible in this MRI scan?,yes
notumor_165,Is there a tumor visible in this MRI scan?,no
meningioma_139,Is there a tumor visible in this MRI scan?,yes
glioma_009,Is there a tumor visible in this MRI scan?,yes
glioma_116,Where is the tumor located?,posterior fossa cerebellar region
pituitary_129,Where is the tumor located?,sellar and suprasellar region
pituitary_074,Where is the tumor located?,sellar region
glioma_042,What type of brain tumor is shown?,glioma
pituitary_216,What type of brain tumor is shown?,pituitary tumor
glioma_104,What type of brain tumor is shown?,glioma
glioma_009,Is this a glioma tumor?,yes
glioma_047,Is there a tumor visible in this MRI scan?,yes
notumor_006,What type of brain tumor is shown?,no tumor
notumor_061,Is there a tumor visible in this MRI scan?,no
notumor_076,Is this a glioma tumor?,no
meningioma_239,Is there a tumor visible in this MRI scan?,yes
notumor_188,Is this a meningioma tumor?,no
meningioma_156,Is this a meningioma tumor?,yes
meningioma_061,What type of brain tumor is shown?,meningioma
notumor_138,Is this a pituitary tumor?,no
glioma_181,Is this a glioma tumor?,yes
meningioma_044,What type of brain tumor is shown?,meningioma
glioma_168,What type of brain tumor is shown?,glioma
notumor_083,Where is the tumor located?,no tumor present
meningioma_187,What type of brain tumor is shown?,meningioma
pituitary_107,Is there a tumor visible in this MRI scan?,yes
meningioma_140,Is there a tumor visible in this MRI scan?,yes
pituitary_217,What type of brain tumor is shown?,pituitary tumor
notumor_135,Is there a tumor visible in this MRI scan?,no
pituitary_147,Is there a tumor visible in this MRI scan?,yes
meningioma_187,Is there a tumor visible in this MRI scan?,yes
notumor_217,Where is the tumor located?,no tumor present
glioma_180,What type of brain tumor is shown?,glioma
meningioma_093,What type of brain tumor is shown?,meningioma
pituitary_245,Where is the tumor located?,suprasellar region
notumor_233,What type of brain tumor is shown?,no tumor
pituitary_006,Is there a tumor visible in this MRI scan?,yes
pituitary_153,What type of brain tumor is shown?,pituitary tumor
meningioma_157,What type of brain tumor is shown?,meningioma
pituitary_107,Is this a pituitary tumor?,yes
notumor_014,Is this a glioma tumor?,no
notumor_002,Where is the tumor located?,no tumor present
glioma_150,Where is the tumor located?,posterior fossa thalamic region
meningioma_187,Where is the tumor located?,right posterior fossa
pituitary_088,Where is the tumor located?,central sellar region
meningioma_108,Is this a meningioma tumor?,yes
meningioma_029,What type of brain tumor is shown?,meningioma
glioma_161,What type of brain tumor is shown?,glioma
glioma_101,What type of brain tumor is shown?,glioma
glioma_123,What type of brain tumor is shown?,glioma
pituitary_125,Where is the tumor located?,sellar and suprasellar region
meningioma_001,Where is the tumor located?,left posterior fossa region
pituitary_029,What type of brain tumor is shown?,pituitary tumor
notumor_122,Is there a tumor visible in this MRI scan?,no
meningioma_220,What type of brain tumor is shown?,meningioma
pituitary_119,Is this a pituitary tumor?,yes
glioma_068,What type of brain tumor is shown?,glioma
pituitary_086,Is this a pituitary tumor?,yes
notumor_015,What type of brain tumor is shown?,no tumor
notumor_050,What type of brain tumor is shown?,no tumor
meningioma_012,Is there a tumor visible in this MRI scan?,yes
notumor_125,Is this a meningioma tumor?,no
pituitary_199,Is this a pituitary tumor?,yes
pituitary_099,Is there a tumor visible in this MRI scan?,yes
notumor_118,What type of brain tumor is shown?,no tumor
notumor_210,Is this a pituitary tumor?,no
pituitary_090,What type of brain tumor is shown?,pituitary tumor
pituitary_084,What type of brain tumor is shown?,pituitary tumor
glioma_005,Is this a glioma tumor?,yes
notumor_164,What type of brain tumor is shown?,no tumor
meningioma_053,What type of brain tumor is shown?,meningioma
pituitary_030,Is this a pituitary tumor?,yes
glioma_058,Is this a glioma tumor?,yes
meningioma_030,Is this a meningioma tumor?,yes
meningioma_074,Is there a tumor visible in this MRI scan?,yes
glioma_124,Where is the tumor located?,right frontal parietal lobe
notumor_137,Is there a tumor visible in this MRI scan?,no
glioma_116,Is this a glioma tumor?,yes
pituitary_226,Where is the tumor located?,sellar and suprasellar region
meningioma_141,Where is the tumor located?,right cavernous sinus region
pituitary_139,Is this a pituitary tumor?,yes
glioma_080,What type of brain tumor is shown?,glioma
pituitary_114,Is this a pituitary tumor?,yes
notumor_067,Is this a glioma tumor?,no
pituitary_114,Is there a tumor visible in this MRI scan?,yes
meningioma_123,Where is the tumor located?,posterior fossa midline
notumor_144,Is there a tumor visible in this MRI scan?,no
meningioma_073,Is this a meningioma tumor?,yes
notumor_081,What type of brain tumor is shown?,no tumor
notumor_130,What type of brain tumor is shown?,no tumor
notumor_099,Is this a pituitary tumor?,no
pituitary_059,Is this a pituitary tumor?,yes
glioma_165,Is this a glioma tumor?,yes
meningioma_015,Is there a tumor visible in this MRI scan?,yes
pituitary_030,Where is the tumor located?,sellar and suprasellar region
